Time (s),Curr1 (A),Curr2 (A),Curr3 (A)
0.508266,0.025969,0.001766,0.002146
2.017346,0.024743,0.001800,0.002146
3.526502,0.025052,0.001796,0.002146
5.035252,0.025461,0.001801,0.002146
6.544942,0.025315,0.001818,0.002146
8.054299,0.024808,0.001766,0.002146
9.562587,0.024983,0.001788,0.002146
11.071461,0.025884,0.001795,0.002146
12.581285,0.024712,0.001808,0.002146
14.090845,0.025073,0.001794,0.002146
15.600396,0.025837,0.001756,0.002146
17.110131,0.024777,0.001780,0.002146
18.619587,0.024853,0.001757,0.002146
20.129208,0.025374,0.001766,0.002146
21.638841,0.024941,0.001802,0.002146
23.148271,0.024749,0.001783,0.002146
24.656555,0.026236,0.001799,0.002146
26.165154,0.024896,0.001790,0.002146
27.674484,0.024725,0.001751,0.002146
29.182892,0.026447,0.001775,0.002146
30.692536,0.024810,0.001739,0.002146
32.199929,0.026427,0.001788,0.002146
33.709351,0.026325,0.001755,0.002146
35.218398,0.026361,0.001781,0.002146
36.727419,0.080236,0.001793,0.002146
38.236822,0.081089,0.001784,0.002146
39.744385,0.081061,0.001781,0.002146
41.254071,0.080364,0.001784,0.002146
42.764074,0.080835,0.001791,0.002146
44.273476,0.081079,0.001792,0.002146
45.782864,0.080508,0.001760,0.002146
47.292418,0.080603,0.001797,0.002146
48.801999,0.081227,0.001765,0.002146
50.311705,0.026635,0.001770,0.002146
51.821028,0.026391,0.001785,0.002146
53.331239,0.027859,0.001786,0.002146
54.840591,0.026447,0.001776,0.002146
